
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-08-14


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1551,1550,1549,1548,1547,1546,1545,1544,1543,1542,1541,1540,1539,1538,1537,1536,1535,1534,1533,1532,1531,1530,1529,1528,1527,1526,1525,1524,1523,1521,1520,1519,1518,1517,1515,1514,1513,1512,1511,1510,1509,1508,1507,1506,1505,1504,1503,1502,1501,1500,1499,1498,1497,1496,1495,1494,1493,1492,1491,1490,1489,1488,1487,1486,1485,1484,1483,1482,1481,1480,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1246,1245,1244,1243,1240,1239,1238,1237,1236,1235,1234,1233,1232,1231,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1205,1204,1203,1202,1201,1200,1199,1198,1197,1196,1195,1194,1193,1190,1189,1187,1186,1094,1091,1088,1087,1086,1085,1084,1083,1082,1080,1077,1076,1074,1072,1070,1063,1062,1057,1053,1052,1049,1048,1045,1044,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1004,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,983,982,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,949,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,652,650,649,648,646,645,642,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,615,614,613,612,611,608,607,605,604,602,599,598,597,596,595,594,593,592,591,590,589,547,546,545,544,543,368,292,291,290,289,288,287,286,285,284,232,231,230,215,214,213,212,210,122,95
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
11, SRSS, 284, -, 1.0, -, 13.0, 19.3, 0.1, "Irpinia_ Italy-01", 1980, "Auletta", 6.9, Normal, 9.52, 9.55, 476.62, 0.5, 1.0, RSN284_ITALY_A-AUL000.AT2, RSN284_ITALY_A-AUL270.AT2 , RSN284_ITALY_A-AUL-UP.AT2  
12, SRSS, 285, -, 1.0, 1.71332, 5.2, 19.6, 0.4, "Irpinia_ Italy-01", 1980, "Bagnoli Irpinio", 6.9, Normal, 8.14, 8.18, 649.67, 0.1125, 1.0, RSN285_ITALY_A-BAG000.AT2, RSN285_ITALY_A-BAG270.AT2 , RSN285_ITALY_A-BAG-UP.AT2  
13, SRSS, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
14, SRSS, 287, -, 1.0, -, 15.4, 27.8, 0.0, "Irpinia_ Italy-01", 1980, "Bovino", 6.9, Normal, 44.62, 46.25, 356.39, 0.625, 1.0, RSN287_ITALY_A-BOV000.AT2, RSN287_ITALY_A-BOV270.AT2 , RSN287_ITALY_A-BOV-UP.AT2  
15, SRSS, 288, -, 1.0, -, 5.7, 13.2, 0.5, "Irpinia_ Italy-01", 1980, "Brienza", 6.9, Normal, 22.54, 22.56, 561.04, 0.2875, 1.0, RSN288_ITALY_A-BRZ000.AT2, RSN288_ITALY_A-BRZ270.AT2 , RSN288_ITALY_A-BRZ-UP.AT2  
16, SRSS, 289, -, 1.0, -, 14.9, 24.2, 0.8, "Irpinia_ Italy-01", 1980, "Calitri", 6.9, Normal, 13.34, 17.64, 455.93, 0.25, 1.0, RSN289_ITALY_A-CTR000.AT2, RSN289_ITALY_A-CTR270.AT2 , RSN289_ITALY_A-CTR-UP.AT2  
17, SRSS, 290, -, 1.0, -, 14.3, 26.7, 0.5, "Irpinia_ Italy-01", 1980, "Mercato San Severino", 6.9, Normal, 29.79, 29.8, 428.57, 0.625, 1.0, RSN290_ITALY_A-MER000.AT2, RSN290_ITALY_A-MER270.AT2 , RSN290_ITALY_A-MER-UP.AT2  
18, SRSS, 291, -, 1.0, -, 18.4, 24.9, 0.3, "Irpinia_ Italy-01", 1980, "Rionero In Vulture", 6.9, Normal, 27.49, 30.07, 574.88, 0.375, 1.0, RSN291_ITALY_A-VLT000.AT2, RSN291_ITALY_A-VLT270.AT2 , RSN291_ITALY_A-VLT-UP.AT2  
19, SRSS, 292, -, 1.0, 3.27264, 7.0, 15.2, 1.4, "Irpinia_ Italy-01", 1980, "Sturno (STN)", 6.9, Normal, 6.78, 10.84, 382.0, 0.125, 1.0, RSN292_ITALY_A-STU000.AT2, RSN292_ITALY_A-STU270.AT2 , RSN292_ITALY_A-STU-UP.AT2  
20, SRSS, 368, -, 1.0, -, 4.4, 9.1, 4.1, "Coalinga-01", 1983, "Pleasant Valley P.P. - yard", 6.36, Reverse, 7.69, 8.41, 257.38, 0.175, 1.0, RSN368_COALINGA.H_H-PVY045.AT2, RSN368_COALINGA.H_H-PVY135.AT2 , RSN368_COALINGA.H_H-PVY-UP.AT2  
21, SRSS, 543, -, 1.0, -, 5.7, 18.5, 0.0, "Chalfant Valley-01", 1986, "Benton", 5.77, strike slip, 24.25, 24.33, 370.94, 0.25, 1.0, RSN543_CHALFANT.B_B-BEN270.AT2, RSN543_CHALFANT.B_B-BEN360.AT2 , RSN543_CHALFANT.B_B-BEN-UP.AT2  
22, SRSS, 544, -, 1.0, -, 12.1, 21.7, 0.1, "Chalfant Valley-01", 1986, "Bishop - LADWP South St", 5.77, strike slip, 23.38, 23.47, 303.47, 0.15, 1.0, RSN544_CHALFANT.B_B-LAD180.AT2, RSN544_CHALFANT.B_B-LAD270.AT2 , RSN544_CHALFANT.B_B-LAD-UP.AT2  
23, SRSS, 545, -, 1.0, -, 3.1, 16.9, 0.0, "Chalfant Valley-01", 1986, "Bishop - Paradise Lodge", 5.77, strike slip, 14.99, 15.13, 585.12, 0.1375, 1.0, RSN545_CHALFANT.B_B-BPL070.AT2, RSN545_CHALFANT.B_B-BPL160.AT2 , RSN545_CHALFANT.B_B-BPL-UP.AT2  
24, SRSS, 546, -, 1.0, -, 4.0, 17.3, 0.0, "Chalfant Valley-01", 1986, "Lake Crowley - Shehorn Res.", 5.77, strike slip, 24.37, 24.45, 456.83, 0.2, 1.0, RSN546_CHALFANT.B_B-SHE009.AT2, RSN546_CHALFANT.B_B-SHE099.AT2 , RSN546_CHALFANT.B_B-SHE-UP.AT2  
25, SRSS, 547, -, 1.0, -, 3.1, 11.5, 0.5, "Chalfant Valley-01", 1986, "Zack Brothers Ranch", 5.77, strike slip, 6.07, 6.39, 316.19, 0.1125, 1.0, RSN547_CHALFANT.B_B-ZAK270.AT2, RSN547_CHALFANT.B_B-ZAK360.AT2 , RSN547_CHALFANT.B_B-ZAK-UP.AT2  
26, SRSS, 589, -, 1.0, -, 2.3, 5.7, 0.9, "Whittier Narrows-01", 1987, "Alhambra - Fremont School", 5.99, Reverse Oblique, 1.67, 14.66, 549.75, 0.4125, 1.0, RSN589_WHITTIER.A_A-ALH180.AT2, RSN589_WHITTIER.A_A-ALH270.AT2 , RSN589_WHITTIER.A_A-ALH-UP.AT2  
27, SRSS, 590, -, 1.0, -, 2.4, 8.2, 0.4, "Whittier Narrows-01", 1987, "Altadena - Eaton Canyon", 5.99, Reverse Oblique, 8.72, 19.52, 375.16, 0.2625, 1.0, RSN590_WHITTIER.A_A-ALT000.AT2, RSN590_WHITTIER.A_A-ALT090.AT2 , RSN590_WHITTIER.A_A-ALT-UP.AT2  
28, SRSS, 591, -, 1.0, -, 7.0, 14.1, 0.1, "Whittier Narrows-01", 1987, "Anaheim - W Ball Rd", 5.99, Reverse Oblique, 25.81, 29.6, 269.29, 0.7, 1.0, RSN591_WHITTIER.A_A-WBA000.AT2, RSN591_WHITTIER.A_A-WBA090.AT2 , RSN591_WHITTIER.A_A-WBA-UP.AT2  
29, SRSS, 592, -, 1.0, -, 3.0, 10.5, 0.9, "Whittier Narrows-01", 1987, "Arcadia - Campus Dr", 5.99, Reverse Oblique, 4.53, 17.42, 367.53, 0.2, 1.0, RSN592_WHITTIER.A_A-CAM009.AT2, RSN592_WHITTIER.A_A-CAM279.AT2 , RSN592_WHITTIER.A_A-CAM-UP.AT2  
30, SRSS, 593, -, 1.0, -, 5.4, 13.6, 0.1, "Whittier Narrows-01", 1987, "Arleta - Nordhoff Fire Sta", 5.99, Reverse Oblique, 32.56, 36.97, 297.71, 0.2875, 1.0, RSN593_WHITTIER.A_A-ARL180.AT2, RSN593_WHITTIER.A_A-ARL270.AT2 , RSN593_WHITTIER.A_A-ARL-UP.AT2  
31, SRSS, 594, -, 1.0, -, 6.8, 11.9, 0.1, "Whittier Narrows-01", 1987, "Baldwin Park - N Holly", 5.99, Reverse Oblique, 4.34, 16.72, 544.68, 0.1, 1.0, RSN594_WHITTIER.A_A-NHO180.AT2, RSN594_WHITTIER.A_A-NHO270.AT2 , RSN594_WHITTIER.A_A-NHO-UP.AT2  
32, SRSS, 595, -, 1.0, -, 3.6, 10.4, 0.6, "Whittier Narrows-01", 1987, "Bell Gardens - Jaboneria", 5.99, Reverse Oblique, 10.31, 17.79, 267.13, 0.12, 1.0, RSN595_WHITTIER.A_A-JAB207.AT2, RSN595_WHITTIER.A_A-JAB297.AT2 , RSN595_WHITTIER.A_A-JAB-UP.AT2  
33, SRSS, 596, -, 1.0, -, 4.3, 11.7, 0.1, "Whittier Narrows-01", 1987, "Beverly Hills - 12520 Mulhol", 5.99, Reverse Oblique, 25.91, 29.9, 545.66, 0.33, 1.0, RSN596_WHITTIER.A_A-MU2032.AT2, RSN596_WHITTIER.A_A-MU2122.AT2 , RSN596_WHITTIER.A_A-MU2-UP.AT2  
34, SRSS, 597, -, 1.0, -, 5.7, 16.1, 0.2, "Whittier Narrows-01", 1987, "Beverly Hills - 14145 Mulhol", 5.99, Reverse Oblique, 29.09, 32.7, 355.81, 0.23, 1.0, RSN597_WHITTIER.A_A-MUL009.AT2, RSN597_WHITTIER.A_A-MUL279.AT2 , RSN597_WHITTIER.A_A-MUL-UP.AT2  
35, SRSS, 598, -, 1.0, -, 4.8, 11.0, 0.2, "Whittier Narrows-01", 1987, "Big Tujunga_ Angeles Nat F", 5.99, Reverse Oblique, 22.5, 28.5, 550.11, 1.0, 1.0, RSN598_WHITTIER.A_A-TUJ262.AT2, RSN598_WHITTIER.A_A-TUJ352.AT2 , RSN598_WHITTIER.A_A-TUJ-UP.AT2  
36, SRSS, 599, -, 1.0, -, 3.6, 9.2, 0.1, "Whittier Narrows-01", 1987, "Brea - S Flower Av", 5.99, Reverse Oblique, 18.39, 23.42, 322.75, 0.2, 1.0, RSN599_WHITTIER.A_A-FLO020.AT2, RSN599_WHITTIER.A_A-FLO290.AT2 ,  -----   
37, SRSS, 602, -, 1.0, -, 3.2, 9.7, 0.4, "Whittier Narrows-01", 1987, "Burbank - N Buena Vista", 5.99, Reverse Oblique, 20.37, 26.34, 320.57, 0.3, 1.0, RSN602_WHITTIER.A_A-BUE250.AT2, RSN602_WHITTIER.A_A-BUE340.AT2 , RSN602_WHITTIER.A_A-BUE-UP.AT2  
38, SRSS, 604, -, 1.0, -, 5.7, 14.5, 0.2, "Whittier Narrows-01", 1987, "Canoga Park - Topanga Can", 5.99, Reverse Oblique, 45.98, 48.96, 267.49, 0.3, 1.0, RSN604_WHITTIER.A_A-CNP106.AT2, RSN604_WHITTIER.A_A-CNP196.AT2 , RSN604_WHITTIER.A_A-CNP-UP.AT2  
39, SRSS, 605, -, 1.0, -, 3.8, 8.9, 0.1, "Whittier Narrows-01", 1987, "Canyon Country - W Lost Cany", 5.99, Reverse Oblique, 44.88, 48.18, 325.6, 0.4, 1.0, RSN605_WHITTIER.A_A-LOS000.AT2, RSN605_WHITTIER.A_A-LOS270.AT2 , RSN605_WHITTIER.A_A-LOS-UP.AT2  
40, SRSS, 607, -, 1.0, -, 11.8, 22.8, 0.0, "Whittier Narrows-01", 1987, "Carson - Catskill Ave", 5.99, Reverse Oblique, 29.85, 33.19, 305.14, 0.2, 1.0, RSN607_WHITTIER.A_A-CAT090.AT2, RSN607_WHITTIER.A_A-CAT180.AT2 , RSN607_WHITTIER.A_A-CAT-UP.AT2  
41, SRSS, 608, -, 1.0, -, 7.3, 15.1, 0.2, "Whittier Narrows-01", 1987, "Carson - Water St", 5.99, Reverse Oblique, 26.3, 30.03, 160.58, 0.22, 1.0, RSN608_WHITTIER.A_A-WAT180.AT2, RSN608_WHITTIER.A_A-WAT270.AT2 , RSN608_WHITTIER.A_A-WAT-UP.AT2  
42, SRSS, 611, -, 1.0, -, 2.1, 8.4, 0.7, "Whittier Narrows-01", 1987, "Compton - Castlegate St", 5.99, Reverse Oblique, 18.32, 23.37, 266.9, 0.3, 1.0, RSN611_WHITTIER.A_A-CAS000.AT2, RSN611_WHITTIER.A_A-CAS270.AT2 , RSN611_WHITTIER.A_A-CAS-UP.AT2  
43, SRSS, 612, -, 1.0, -, 7.6, 19.6, 0.1, "Whittier Narrows-01", 1987, "Covina - S Grand Ave", 5.99, Reverse Oblique, 13.58, 20.91, 346.62, 0.13, 1.0, RSN612_WHITTIER.A_A-GRA015.AT2, RSN612_WHITTIER.A_A-GRA105.AT2 , RSN612_WHITTIER.A_A-GRA-UP.AT2  
44, SRSS, 613, -, 1.0, -, 6.2, 15.3, 0.2, "Whittier Narrows-01", 1987, "Covina - W Badillo", 5.99, Reverse Oblique, 9.49, 18.59, 324.79, 0.15, 1.0, RSN613_WHITTIER.A_A-BAD000.AT2, RSN613_WHITTIER.A_A-BAD270.AT2 , RSN613_WHITTIER.A_A-BAD-UP.AT2  
45, SRSS, 614, -, 1.0, -, 1.9, 9.6, 1.0, "Whittier Narrows-01", 1987, "Downey - Birchdale", 5.99, Reverse Oblique, 14.9, 20.79, 245.06, 0.13, 1.0, RSN614_WHITTIER.A_A-BIR090.AT2, RSN614_WHITTIER.A_A-BIR180.AT2 , RSN614_WHITTIER.A_A-BIR-UP.AT2  
46, SRSS, 615, -, 1.0, -, 4.3, 12.4, 0.4, "Whittier Narrows-01", 1987, "Downey - Co Maint Bldg", 5.99, Reverse Oblique, 14.95, 20.82, 271.9, 0.25, 1.0, RSN615_WHITTIER.A_A-DWN180.AT2, RSN615_WHITTIER.A_A-DWN270.AT2 , RSN615_WHITTIER.A_A-DWN-UP.AT2  
47, SRSS, 616, -, 1.0, -, 4.2, 11.4, 0.5, "Whittier Narrows-01", 1987, "El Monte - Fairview Av", 5.99, Reverse Oblique, 0.75, 15.67, 290.63, 0.15, 1.0, RSN616_WHITTIER.A_A-FAI095.AT2, RSN616_WHITTIER.A_A-FAI185.AT2 , RSN616_WHITTIER.A_A-FAI-UP.AT2  
48, SRSS, 617, -, 1.0, -, 3.9, 9.2, 0.1, "Whittier Narrows-01", 1987, "Featherly Park - Maint", 5.99, Reverse Oblique, 35.04, 37.92, 367.54, 0.75, 1.0, RSN617_WHITTIER.A_A-FEA000.AT2, RSN617_WHITTIER.A_A-FEA090.AT2 , RSN617_WHITTIER.A_A-FEA-UP.AT2  
49, SRSS, 618, -, 1.0, -, 9.9, 18.2, 0.1, "Whittier Narrows-01", 1987, "Fountain Valley - Euclid", 5.99, Reverse Oblique, 36.69, 39.45, 270.54, 0.6, 1.0, RSN618_WHITTIER.A_A-EUC022.AT2, RSN618_WHITTIER.A_A-EUC292.AT2 , RSN618_WHITTIER.A_A-EUC-UP.AT2  
50, SRSS, 620, -, 1.0, -, 2.9, 7.4, 0.4, "Whittier Narrows-01", 1987, "Glendale - Las Palmas", 5.99, Reverse Oblique, 14.68, 22.82, 371.07, 0.4, 1.0, RSN620_WHITTIER.A_A-GLP177.AT2, RSN620_WHITTIER.A_A-GLP267.AT2 , RSN620_WHITTIER.A_A-GLP-UP.AT2  
51, SRSS, 621, -, 1.0, -, 4.1, 12.7, 0.1, "Whittier Narrows-01", 1987, "Glendora - N Oakbank", 5.99, Reverse Oblique, 13.67, 22.11, 362.31, 0.5, 1.0, RSN621_WHITTIER.A_A-OAK080.AT2, RSN621_WHITTIER.A_A-OAK170.AT2 , RSN621_WHITTIER.A_A-OAK-UP.AT2  
52, SRSS, 622, -, 1.0, -, 3.2, 11.4, 0.2, "Whittier Narrows-01", 1987, "Hacienda Heights - Colima", 5.99, Reverse Oblique, 9.6, 17.39, 337.0, 0.2, 1.0, RSN622_WHITTIER.A_A-COM140.AT2, RSN622_WHITTIER.A_A-COM230.AT2 , RSN622_WHITTIER.A_A-COM-UP.AT2  
53, SRSS, 624, -, 1.0, -, 11.1, 23.2, 0.0, "Whittier Narrows-01", 1987, "Huntington Beach - Lake St", 5.99, Reverse Oblique, 42.16, 44.58, 315.52, 0.25, 1.0, RSN624_WHITTIER.A_A-HNT270.AT2, RSN624_WHITTIER.A_A-HNT360.AT2 , RSN624_WHITTIER.A_A-HNT-UP.AT2  
54, SRSS, 625, -, 1.0, -, 1.9, 11.2, 0.5, "Whittier Narrows-01", 1987, "Inglewood - Union Oil", 5.99, Reverse Oblique, 21.41, 25.86, 316.02, 0.175, 1.0, RSN625_WHITTIER.A_A-ING000.AT2, RSN625_WHITTIER.A_A-ING090.AT2 , RSN625_WHITTIER.A_A-ING-UP.AT2  
55, SRSS, 626, -, 1.0, -, 1.8, 9.5, 0.9, "Whittier Narrows-01", 1987, "LA - 116th St School", 5.99, Reverse Oblique, 18.23, 23.29, 301.0, 0.1625, 1.0, RSN626_WHITTIER.A_A-116270.AT2, RSN626_WHITTIER.A_A-116360.AT2 , RSN626_WHITTIER.A_A-116-UP.AT2  
56, SRSS, 627, -, 1.0, -, 3.9, 14.4, 0.3, "Whittier Narrows-01", 1987, "LA - Baldwin Hills", 5.99, Reverse Oblique, 21.51, 25.94, 297.07, 0.2875, 1.0, RSN627_WHITTIER.A_A-BLD000.AT2, RSN627_WHITTIER.A_A-BLD090.AT2 , RSN627_WHITTIER.A_A-BLD-UP.AT2  
57, SRSS, 628, -, 1.0, -, 7.4, 14.6, 0.1, "Whittier Narrows-01", 1987, "LA - Centinela St", 5.99, Reverse Oblique, 28.0, 31.53, 321.91, 0.22, 1.0, RSN628_WHITTIER.A_A-CEN155.AT2, RSN628_WHITTIER.A_A-CEN245.AT2 , RSN628_WHITTIER.A_A-CEN-UP.AT2  
58, SRSS, 629, -, 1.0, -, 6.3, 17.0, 0.2, "Whittier Narrows-01", 1987, "LA - Century City CC North", 5.99, Reverse Oblique, 26.14, 29.89, 277.98, 0.2875, 1.0, RSN629_WHITTIER.A_A-CCN000.AT2, RSN629_WHITTIER.A_A-CCN090.AT2 , RSN629_WHITTIER.A_A-CCN-UP.AT2  
59, SRSS, 632, -, 1.0, -, 3.1, 9.7, 0.2, "Whittier Narrows-01", 1987, "LA - Cypress Ave", 5.99, Reverse Oblique, 8.56, 16.97, 366.71, 0.3, 1.0, RSN632_WHITTIER.A_A-CYP053.AT2, RSN632_WHITTIER.A_A-CYP143.AT2 , RSN632_WHITTIER.A_A-CYP-UP.AT2  
60, SRSS, 633, -, 1.0, -, 5.6, 11.8, 0.2, "Whittier Narrows-01", 1987, "LA - E Vernon Ave", 5.99, Reverse Oblique, 10.5, 17.91, 283.14, 0.14, 1.0, RSN633_WHITTIER.A_A-VER083.AT2, RSN633_WHITTIER.A_A-VER173.AT2 , RSN633_WHITTIER.A_A-VER-UP.AT2  
